artifact,script,configuration,queries,seeds,candidate_pool_size,top_k,mask_aware,void_fraction_active,contains_topk_ids,notes
manuscript/reviewer_revision_artifacts/descriptor_coverage_audit.csv,historical saved artifact; original runner not present in final checkout,see manuscript/final_configuration.json and manuscript/protocol_audit.csv,five manuscript query scenarios,seed 42 for primary single-run; 42-51 where repeated-seed artifact exists,100 primary; 50/100/200 sensitivity where available,5,no; historical protocol preserved for comparison,historical CSV carries porosity_score=0.0 but final text excluded physical porosity claims,no,read-only copy under artifacts/historical_protocol
manuscript/reviewer_revision_artifacts/all_vs_selected_objective_summary.csv,historical saved artifact; original runner not present in final checkout,see manuscript/final_configuration.json and manuscript/protocol_audit.csv,five manuscript query scenarios,seed 42 for primary single-run; 42-51 where repeated-seed artifact exists,100 primary; 50/100/200 sensitivity where available,5,no; historical protocol preserved for comparison,historical CSV carries porosity_score=0.0 but final text excluded physical porosity claims,no,read-only copy under artifacts/historical_protocol
manuscript/reviewer_revision_artifacts/method_difference_variance_summary.csv,historical saved artifact; original runner not present in final checkout,see manuscript/final_configuration.json and manuscript/protocol_audit.csv,five manuscript query scenarios,seed 42 for primary single-run; 42-51 where repeated-seed artifact exists,100 primary; 50/100/200 sensitivity where available,5,no; historical protocol preserved for comparison,historical CSV carries porosity_score=0.0 but final text excluded physical porosity claims,no,read-only copy under artifacts/historical_protocol
manuscript/reviewer_revision_artifacts/retrieval_serialization_sample.csv,historical saved artifact; original runner not present in final checkout,see manuscript/final_configuration.json and manuscript/protocol_audit.csv,five manuscript query scenarios,seed 42 for primary single-run; 42-51 where repeated-seed artifact exists,100 primary; 50/100/200 sensitivity where available,5,no; historical protocol preserved for comparison,historical CSV carries porosity_score=0.0 but final text excluded physical porosity claims,no,read-only copy under artifacts/historical_protocol
manuscript/reviewer_revision_artifacts/environment_snapshot.json,historical saved artifact; original runner not present in final checkout,see manuscript/final_configuration.json and manuscript/protocol_audit.csv,five manuscript query scenarios,seed 42 for primary single-run; 42-51 where repeated-seed artifact exists,100 primary; 50/100/200 sensitivity where available,5,no; historical protocol preserved for comparison,historical CSV carries porosity_score=0.0 but final text excluded physical porosity claims,no,read-only copy under artifacts/historical_protocol
manuscript/reviewer_revision_artifacts/input_summary_metrics_snapshot.csv,historical saved artifact; original runner not present in final checkout,see manuscript/final_configuration.json and manuscript/protocol_audit.csv,five manuscript query scenarios,seed 42 for primary single-run; 42-51 where repeated-seed artifact exists,100 primary; 50/100/200 sensitivity where available,5,no; historical protocol preserved for comparison,historical CSV carries porosity_score=0.0 but final text excluded physical porosity claims,no,read-only copy under artifacts/historical_protocol
manuscript/figures/figure_3_metric_comparison.png,historical saved artifact; original runner not present in final checkout,see manuscript/final_configuration.json and manuscript/protocol_audit.csv,five manuscript query scenarios,seed 42 for primary single-run; 42-51 where repeated-seed artifact exists,100 primary; 50/100/200 sensitivity where available,5,no; historical protocol preserved for comparison,historical CSV carries porosity_score=0.0 but final text excluded physical porosity claims,no,read-only copy under artifacts/historical_protocol
manuscript/figures/figure_4_runtime_log.png,historical saved artifact; original runner not present in final checkout,see manuscript/final_configuration.json and manuscript/protocol_audit.csv,five manuscript query scenarios,seed 42 for primary single-run; 42-51 where repeated-seed artifact exists,100 primary; 50/100/200 sensitivity where available,5,no; historical protocol preserved for comparison,historical CSV carries porosity_score=0.0 but final text excluded physical porosity claims,no,read-only copy under artifacts/historical_protocol
manuscript/figures/figure_5_lea_convergence.png,historical saved artifact; original runner not present in final checkout,see manuscript/final_configuration.json and manuscript/protocol_audit.csv,five manuscript query scenarios,seed 42 for primary single-run; 42-51 where repeated-seed artifact exists,100 primary; 50/100/200 sensitivity where available,5,no; historical protocol preserved for comparison,historical CSV carries porosity_score=0.0 but final text excluded physical porosity claims,no,read-only copy under artifacts/historical_protocol
manuscript/figures/figure_6_objective_radar.png,historical saved artifact; original runner not present in final checkout,see manuscript/final_configuration.json and manuscript/protocol_audit.csv,five manuscript query scenarios,seed 42 for primary single-run; 42-51 where repeated-seed artifact exists,100 primary; 50/100/200 sensitivity where available,5,no; historical protocol preserved for comparison,historical CSV carries porosity_score=0.0 but final text excluded physical porosity claims,no,read-only copy under artifacts/historical_protocol
