record_type,query,query_id,seed,same_topk_set,same_order,topk_overlap,same_rel,same_ndcg,same_diversity,same_scores,notes
weighted_sum_vs_lea_no_diversity,wide band gap insulating MOFs with low density,q5_insulating_frameworks,42,False,False,0.6,True,,True,,list-level comparison from final mask-aware rerun
weighted_sum_vs_lea_no_diversity,wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,False,False,0.4,True,,True,,list-level comparison from final mask-aware rerun
weighted_sum_vs_lea_no_diversity,wide band gap insulating MOFs with low density,q5_insulating_frameworks,44,False,False,0.4,True,,True,,list-level comparison from final mask-aware rerun
weighted_sum_vs_lea_no_diversity,wide band gap insulating MOFs with low density,q5_insulating_frameworks,45,False,False,0.4,True,,True,,list-level comparison from final mask-aware rerun
weighted_sum_vs_lea_no_diversity,wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,False,False,0.6,True,,True,,list-level comparison from final mask-aware rerun
weighted_sum_vs_lea_no_diversity,wide band gap insulating MOFs with low density,q5_insulating_frameworks,47,False,False,0.4,True,,True,,list-level comparison from final mask-aware rerun
weighted_sum_vs_lea_no_diversity,wide band gap insulating MOFs with low density,q5_insulating_frameworks,48,False,False,0.4,True,,True,,list-level comparison from final mask-aware rerun
weighted_sum_vs_lea_no_diversity,wide band gap insulating MOFs with low density,q5_insulating_frameworks,49,False,False,0.4,True,,True,,list-level comparison from final mask-aware rerun
weighted_sum_vs_lea_no_diversity,wide band gap insulating MOFs with low density,q5_insulating_frameworks,50,False,False,0.2,True,,True,,list-level comparison from final mask-aware rerun
weighted_sum_vs_lea_no_diversity,wide band gap insulating MOFs with low density,q5_insulating_frameworks,51,False,False,0.4,True,,True,,list-level comparison from final mask-aware rerun
