query_id,method,historical_topk_ids,final_topk_ids,topk_overlap,positions_changed,top_rank_changed
q3_lightweight_storage,LEA,qmof-b1cbe7a|qmof-175a5d9|qmof-cef46c3|qmof-efd8c2a|qmof-efd24b7,qmof-ac6a77a|qmof-235f291|qmof-c0f392b|qmof-a1a5849|qmof-cef46c3,0.2,5,True
q3_lightweight_storage,MMR,,qmof-13a76dd|qmof-e566fbb|qmof-cef46c3|qmof-a1a5849|qmof-c0f392b,0.0,5,
q3_lightweight_storage,ParetoCrowding,qmof-efd8c2a|qmof-cef46c3|qmof-a2d95c3|qmof-b1cbe7a|qmof-ca7c71a,qmof-e566fbb|qmof-cef46c3|qmof-c0f392b|qmof-ac6a77a|qmof-a1a5849,0.2,4,True
q3_lightweight_storage,Random,qmof-6a62f82|qmof-4a41a68|qmof-f756730|qmof-e27ef5d|qmof-2efade9,qmof-8c2e3e2|qmof-5ec1870|qmof-74d6dbe|qmof-14332ab|qmof-d038f1b,0.0,5,True
q3_lightweight_storage,SemanticOnly,qmof-1a2e603|qmof-4a41a68|qmof-e27ef5d|qmof-97ee5b6|qmof-b52c6c5,qmof-ff091c1|qmof-fde6499|qmof-fbe14b0|qmof-fa666a1|qmof-f82b5e3,0.0,5,True
q3_lightweight_storage,TOPSIS,qmof-b1cbe7a|qmof-8deddd1|qmof-a2d95c3|qmof-175a5d9|qmof-cef46c3,qmof-e566fbb|qmof-cef46c3|qmof-c0f392b|qmof-ac6a77a|qmof-a1a5849,0.2,5,True
q3_lightweight_storage,WeightedSum,qmof-efd8c2a|qmof-ca7c71a|qmof-d475ee7|qmof-2efade9|qmof-ad473d2,qmof-e566fbb|qmof-cef46c3|qmof-c0f392b|qmof-ac6a77a|qmof-a1a5849,0.0,5,True
q4_balanced_discovery,LEA,qmof-b1cbe7a|qmof-8deddd1|qmof-cef46c3|qmof-175a5d9|qmof-ac6a77a,qmof-ac6a77a|qmof-235f291|qmof-c0f392b|qmof-a1a5849|qmof-cef46c3,0.4,5,True
q4_balanced_discovery,MMR,,qmof-13a76dd|qmof-12544e7|qmof-e566fbb|qmof-cef46c3|qmof-a1a5849,0.0,5,
q4_balanced_discovery,ParetoCrowding,qmof-b1cbe7a|qmof-cef46c3|qmof-8deddd1|qmof-ac6a77a|qmof-175a5d9,qmof-e566fbb|qmof-cef46c3|qmof-c0f392b|qmof-ac6a77a|qmof-a1a5849,0.4,3,True
q4_balanced_discovery,Random,qmof-70e1be7|qmof-d6b4784|qmof-c1b5346|qmof-dfd0917|qmof-bf460d2,qmof-41cbe0b|qmof-dc7e5a3|qmof-507bad6|qmof-c82daac|qmof-e7477a4,0.0,5,True
q4_balanced_discovery,SemanticOnly,qmof-bf460d2|qmof-700998f|qmof-0df7bd9|qmof-688ca67|qmof-da92f5a,qmof-fe36449|qmof-fbd4fed|qmof-fbc9303|qmof-fb69b28|qmof-f914f9b,0.0,5,True
q4_balanced_discovery,TOPSIS,qmof-b1cbe7a|qmof-8deddd1|qmof-cef46c3|qmof-175a5d9|qmof-ac6a77a,qmof-e566fbb|qmof-cef46c3|qmof-c0f392b|qmof-ac6a77a|qmof-a1a5849,0.4,5,True
q4_balanced_discovery,WeightedSum,qmof-b1cbe7a|qmof-8deddd1|qmof-cef46c3|qmof-175a5d9|qmof-ac6a77a,qmof-e566fbb|qmof-cef46c3|qmof-c0f392b|qmof-ac6a77a|qmof-a1a5849,0.4,5,True
q5_insulating_frameworks,LEA,qmof-017128d|qmof-e3dcc4d|qmof-a2d95c3|qmof-2a5ad82|qmof-4050181,qmof-e3dcc4d|qmof-b1cbe7a|qmof-4f9c014|qmof-017128d|qmof-8deddd1,0.4,5,True
q5_insulating_frameworks,MMR,,qmof-4050181|qmof-c82daac|qmof-3133aaf|qmof-175a5d9|qmof-19d3c65,0.0,5,
q5_insulating_frameworks,ParetoCrowding,qmof-017128d|qmof-a2d95c3|qmof-e3dcc4d|qmof-ec58109|qmof-4050181,qmof-e3dcc4d|qmof-c82daac|qmof-b1cbe7a|qmof-a2d95c3|qmof-8deddd1,0.4,5,True
q5_insulating_frameworks,Random,qmof-c931987|qmof-b605e3f|qmof-b4b5423|qmof-51966a1|qmof-f75eb5a,qmof-730d513|qmof-f5f710d|qmof-0338cb2|qmof-4f9c014|qmof-f50d129,0.0,5,True
q5_insulating_frameworks,SemanticOnly,qmof-9c487ce|qmof-bc9ad02|qmof-c80c803|qmof-14210e6|qmof-41d1d42,qmof-fd27ae2|qmof-fccf4ef|qmof-f5f710d|qmof-f50d129|qmof-f4f5664,0.0,5,True
q5_insulating_frameworks,TOPSIS,qmof-a2d95c3|qmof-017128d|qmof-e3dcc4d|qmof-ec58109|qmof-574737f,qmof-e3dcc4d|qmof-c82daac|qmof-b1cbe7a|qmof-a2d95c3|qmof-8deddd1,0.4,5,True
q5_insulating_frameworks,WeightedSum,qmof-017128d|qmof-e3dcc4d|qmof-ec58109|qmof-574737f|qmof-f75eb5a,qmof-e3dcc4d|qmof-c82daac|qmof-b1cbe7a|qmof-a2d95c3|qmof-8deddd1,0.2,5,True
